smiles,func_group,sascore,scscore
[H]C(=O)c1c([H])c([H])c(-c2nc(-c3c([H])c([H])c(C([H])=O)c([H])c3[H])nc(-c3c([H])c([H])c(C([H])=O)c([H])c3[H])n2)c([H])c1[H],aldehyde,0.4431345659734278,0.6131191902915137
[H]C(=O)c1c(OC([H])([H])[H])c(C([H])=O)c(OC([H])([H])[H])c(C([H])=O)c1OC([H])([H])[H],aldehyde,0.20236434630795264,0.6028402119926073
[H]Oc1c(C([H])=O)c([H])c(C#Cc2c([H])c(C#Cc3c([H])c(C([H])=O)c(O[H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c3[H])c([H])c(C#Cc3c([H])c(C([H])=O)c(O[H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c3[H])c2[H])c([H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],aldehyde,0.3248151168575024,0.7628092779204386
[H]C(=O)c1c([H])c([H])c([H])c([H])c1OC([H])([H])C([H])([H])N(C([H])([H])C([H])([H])Oc1c([H])c([H])c([H])c([H])c1C([H])=O)C([H])([H])C([H])([H])Oc1c([H])c([H])c([H])c([H])c1C([H])=O,aldehyde,0.278469808129554,0.2092163240691592
[H]C(=O)c1c([H])c([H])c(OP(=O)(Oc2c([H])c([H])c(C([H])=O)c([H])c2[H])Oc2c([H])c([H])c(C([H])=O)c([H])c2[H])c([H])c1[H],aldehyde,0.21952483857928268,0.6479264912024938
[H]C(=O)C([H])([H])C(C(=O)OC([H])([H])[H])(C([H])([H])C([H])=O)C([H])([H])C([H])=O,aldehyde,0.19998441383744986,0.6598022482678316
[H]C(=O)c1c([H])c([H])c([H])c([H])c1OC([H])([H])c1c(C([H])([H])C([H])([H])[H])c(C([H])([H])Oc2c([H])c([H])c([H])c([H])c2C([H])=O)c(C([H])([H])C([H])([H])[H])c(C([H])([H])Oc2c([H])c([H])c([H])c([H])c2C([H])=O)c1C([H])([H])C([H])([H])[H],aldehyde,0.2701489716166774,0.7091444196305535
[H]C(=O)c1c([H])c([H])c([H])c([H])c1B1OB(c2c([H])c([H])c([H])c([H])c2C([H])=O)OB(c2c([H])c([H])c([H])c([H])c2C([H])=O)O1,aldehyde,0.19914197736195693,0.6787734296406721
[H]C(=O)c1c([H])c2c(OC([H])([H])[H])c(c1[H])C([H])([H])c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c1OC([H])([H])[H])C([H])([H])c1c([H])c(C([H])=O)c([H])c(c1OC([H])([H])[H])C([H])([H])c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c1OC([H])([H])[H])C([H])([H])c1c([H])c(C([H])=O)c([H])c(c1OC([H])([H])[H])C([H])([H])c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c1OC([H])([H])[H])C2([H])[H],aldehyde,0.3824898654619415,0.9550050915958267
[H]C(=O)c1c([H])c([H])c([H])c(C([H])=O)c1C([H])=O,aldehyde,0.14082829521569828,0.5657810814252078
[H]C(=O)c1c([H])c([H])c(OP(=O)(Oc2c([H])c([H])c(C([H])=O)c([H])c2OC([H])([H])[H])Oc2c([H])c([H])c(C([H])=O)c([H])c2OC([H])([H])[H])c(OC([H])([H])[H])c1[H],aldehyde,0.1666495759936003,0.7022359346855658
[H]C(=O)c1c([H])c([H])c2c(c1[H])C(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])c1c([H])c(C([H])=O)c([H])c(C([H])=O)c1-2,aldehyde,0.5393783520775752,0.7164158639694507
[H]C(=O)c1c([H])c(C([H])=O)c(Cl)c(C([H])=O)c1Cl,aldehyde,0.2323182036640566,0.46137436357175127
[H]C(=O)c1nc(C([H])=O)c([H])c(C([H])=O)n1,aldehyde,0.3949807838432252,0.49037159419651055
[H]C(=O)c1c([H])c(OC([H])([H])[H])c(Oc2nc(Oc3c(OC([H])([H])[H])c([H])c(C([H])=O)c([H])c3[N+](=O)[O-])nc(Oc3c(OC([H])([H])[H])c([H])c(C([H])=O)c([H])c3[N+](=O)[O-])n2)c([N+](=O)[O-])c1[H],aldehyde,0.31773746364053257,0.6317372546307946
[H]C(=O)c1c([H])c([H])c(OP(=S)(Oc2c([H])c([H])c(C([H])=O)c([H])c2[H])Oc2c([H])c([H])c(C([H])=O)c([H])c2[H])c([H])c1[H],aldehyde,0.17695565201824226,0.6646821320665672
[H]C(=O)C([H])(C([H])=O)C([H])=O,aldehyde,0.08883203224382963,0.5639308065971281
[H]C(=O)c1sc([H])c(C([H])=O)c1C([H])=O,aldehyde,0.10552238882060888,0.5102772291248616
[H]C(=O)c1c([H])c([H])c(C([H])([H])c2c(C([H])([H])[H])c(C([H])([H])c3c([H])c([H])c(C([H])=O)c([H])c3[H])c(C([H])([H])[H])c(C([H])([H])c3c([H])c([H])c(C([H])=O)c([H])c3[H])c2C([H])([H])[H])c([H])c1[H],aldehyde,0.43538378167528546,0.397360753408214
[H]C(=O)c1c([H])c([H])c(Oc2nc(Oc3c([H])c([H])c(C([H])=O)c([H])c3[H])nc(Oc3c([H])c([H])c(C([H])=O)c([H])c3[H])n2)c([H])c1[H],aldehyde,0.18869067863636957,0.6120064078815275
[H]C(=O)c1c([H])c([H])c(N(c2c([H])c([H])c(C([H])=O)c([H])c2[H])c2c([H])c([H])c(C([H])=O)c([H])c2[H])c([H])c1[H],aldehyde,0.25301316595352863,0.6594483096063004
[H]OC([H])(C([H])=O)C([H])(C([H])=O)C([H])([H])C([H])=O,aldehyde,0.24271227294420805,0.7422491103721922
[H]C(=O)C([H])([H])O[C@@]1([H])C([H])([H])[C@]2([H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]([H])(OC([H])([H])C([H])=O)C([H])([H])[C@@]3([H])C([H])([H])[C@@]([H])(OC([H])([H])C([H])=O)[C@@]2([H])[C@]2([H])C([H])([H])C([H])([H])[C@]([H])([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])OC(c3c([H])c([H])c([H])c([H])c3[H])(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c3[H])[C@@]12C([H])([H])[H],aldehyde,0.5795838688128193,0.9415438049724764
[H]C(=O)c1c([H])c([H])c(OC([H])([H])c2c(C([H])([H])[H])c(C([H])([H])Oc3c([H])c([H])c(C([H])=O)c([H])c3[H])c(C([H])([H])[H])c(C([H])([H])Oc3c([H])c([H])c(C([H])=O)c([H])c3[H])c2C([H])([H])[H])c([H])c1[H],aldehyde,0.23220322009501548,0.47206886146238664
[H]C(=O)c1c([H])c([H])c([H])c(Oc2nc(Oc3c([H])c([H])c([H])c(C([H])=O)c3[H])nc(Oc3c([H])c([H])c([H])c(C([H])=O)c3[H])n2)c1[H],aldehyde,0.20133758114461686,0.6181635392410303
[H]C(=O)C([H])([H])O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2(C([H])([H])[H])[C@@]([H])(C1([H])[H])C([H])([H])[C@@]([H])(OC([H])([H])C([H])=O)[C@]1([H])[C@]2([H])C([H])([H])[C@]([H])(OC([H])([H])C([H])=O)[C@@]2(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]2([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])OC(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],aldehyde,0.5971810506177824,0.9415438049724764
[H]Oc1c(C([H])=O)c([H])c(OC(=O)C([H])([H])Oc2c([H])c(OC([H])([H])C(=O)Oc3c([H])c(C([H])=O)c(O[H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c3[H])c([H])c(OC([H])([H])C(=O)Oc3c([H])c(C([H])=O)c(O[H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c3[H])c2[H])c([H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],aldehyde,0.3796919869787898,0.8122252154471465
[H]C(=O)c1c([H])c(C([H])=O)c([H])c(C([H])=O)c1[H],aldehyde,0.11388196594974104,0.5547733242220789
[H]C(=O)c1c([H])c([H])c(OC([H])([H])c2c([H])c(C([H])([H])Oc3c([H])c([H])c(C([H])=O)c([H])c3[H])c([H])c(C([H])([H])Oc3c([H])c([H])c(C([H])=O)c([H])c3[H])c2[H])c([H])c1[H],aldehyde,0.22976241583759027,0.7429290752833251
[H]C(=O)C([H])([H])C(C(=O)OC([H])([H])C([H])([H])[H])(C([H])([H])C([H])=O)C([H])([H])C([H])=O,aldehyde,0.17877322879887703,0.6863669872065468
