,Score,Smiles
0,0,Oc1ccccc1[C@H](F)[C@@H](F)c1ccccc1O
1,0,[H]/N=C(\Cl)SS/C(Cl)=N\[H]
2,0,C#C[C@@H](CCCC(=O)O)C(=O)O
3,0,Brc1ccc2[nH]c3c(c2c1)CCN(I)[C@H]3[C@H]1CCCN1I
4,0,CCOc1cccc(N2C(C(=O)O)=NC(C(=O)O)=NC2(C)C)c1
5,0,N=C1N[C@H]2C[C@@H](N1)[C@@H]1N(C(=O)O)[C@](O)(O2)[C@H]2[C@H]3C[C@H](NC(=N)N3)O[C@]1(O)N2C(=O)O
6,0,I[C@H](c1ccccc1)[C@H](I)c1ccccc1
7,0,O/C=C(Br)/C(Br)=C/O
8,0,CC1(C)OCc2c(F)cnc(F)c2O1
9,0,C/C(C=O)=C\C=C(/C)C=O
10,0,O=C(O)C1C2C3CC4C2C(C(=O)O)C2C5CC(C12)C1C3C4C51
11,0,OC[C@H]1O[C@H](O[C@H]2[C@H](Cl)C[C@H](Cl)[C@@H](O)[C@H]2O)[C@H](Cl)[C@H](O)[C@H]1O
12,0,NNNN
13,0,Oc1c(Cl)cc2ccccc2c1Cl
14,0,F[C@H]1CCCCCCCC[C@H](F)CCCCCCCC1
15,0,O=CC1=CNC(Cl)=C(C=O)C1
16,1,O=C1C(c2ccc(I)cc2)=C(c2ccc(I)cc2)C(=O)C(c2ccc(I)cc2)=C1c1ccc(I)cc1
17,0,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]1(C=O)C(=O)CC(C=O)=CC[C@H]21
18,0,N=c1c(N)c[nH]c2ccccc12
19,0,CC(=O)O[C@H]1CC[C@@H]2C[C@]2(C=O)[C@@H]1C=O
20,0,NC[C@H](N)Cc1ccccc1
21,0,F/C(=N\N=C(/F)c1ccccn1)c1ccccn1
22,0,Nc1[nH]c(N)c(Br)c1Br
23,0,F/C(=N\N=C(\F)c1ccccn1)c1ccccn1
24,0,N[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O)[C@@H]1N
25,0,O=C(O)C1=NN=C(C(=O)O)C1=NNc1ccccc1Br
26,1,O=C(O)c1ccc(N(c2ccc(C(=O)O)cc2)c2ccc(-c3ccc(N(c4ccc(C(=O)O)cc4)c4ccc(C(=O)O)cc4)cc3)cc2)cc1
27,1,CC1(C)O[C@@H](CBr)[C@H](CBr)O1
28,0,N#CC1=C(N)SC(N)=C(C#N)C1c1cccc(F)c1
29,0,C/C(Cl)=C(\C)C#CC#C/C(C)=C(\C)Cl
30,0,Brc1cc(CI)cc(CI)c1
31,0,O=CC1=NN=C(C=O)C1=NNc1cccc(Cl)c1
32,0,[H]/N=C(/F)c1ccc2oc3ccc(/C(F)=N\[H])cc3c2c1
33,0,[H]/N=C(\F)O/C(F)=N\[H]
34,0,OC[C@H]1C[C@@H](CO)C=C[C@@H]1N=C(O)OCc1ccccc1
35,0,C/C=C1\CN(Br)[C@@H]2C[C@H]1[C@@H](C(=O)OC)[C@@]13C[C@@H](O)O[C@@]21N(Br)c1ccccc13
36,1,N=C(N)c1ccc(-c2ccc(C(=N)N)cc2)cc1
37,0,CC(C)(C(=O)O)C(C)(C)C(=O)O
38,0,CC1(C)N=C(CO)N=C(CO)N1CCc1ccccc1
39,0,F[C@H]1CC/C=C\CC/C=C\CC[C@@H]1F
40,0,CO[C@@H]1[C@@H](N)[C@@H]2C[C@@H]2[C@H]1N
41,0,Fc1cccc(F)c1NN=C1C(Br)=NN=C1Br
42,0,N=C1N=NC(N)=C1NNc1cccc(Br)c1
43,0,CO[C@@H]1O[C@@H](CN)[C@H](O)[C@@H](N)[C@@H]1O
44,0,O=C(O)c1cc(C(=O)O)c2cc(C(=O)O)ccc2c1
45,0,ClC1=C(I)C[C@@H]2C(I)=CC[C@H]12
46,0,CC(O)=Nc1c(F)c2cccccc-2c1F
47,0,O=C(O)O[C@@H]1[C@H]2CC[C@H](O)[C@H]2[C@H]1C(=O)O
48,0,CC1(C)CCC[C@]2(C)[C@@H]3CC=C(C(=O)O)[C@H](C(=O)O)[C@@]3(C)CC[C@H]12
49,0,O=CN1C=C([C@H]2CCCCCN2C=O)CCC1
50,0,N#CC1=C(C(=O)O)SC(C(=O)O)=C(C#N)C1
51,0,OC(=NN=C(S)I)c1cccc(C(O)=NN=C(S)I)c1
52,0,O[C@@H](CCl)[C@@H](O)CCl
53,1,O=C[C@H]1CC[C@H](C=O)CC1
54,0,Cc1ccc(-c2nc3c(C=O)c4cccccc4n3c2C=O)cc1
55,0,N=C(N)N[C@H]1CC[C@H]([C@H](N)C(=O)O)CC1
56,0,CCc1cc(Br)c(Br)cc1O
57,1,Brc1ccc(Cc2ccc(Br)cc2)cc1
58,0,CC1(C)N=C(F)N=C(F)N1c1ccc(O)cc1
59,0,CC[C@H]1N=C(C(=O)O)N=C(C(=O)O)N1c1ccc(Cl)cc1
60,0,[H]/N=C(/C(=O)O)c1cccc(-c2cc3ccc(/C(=N\[H])C(=O)O)cc3o2)c1
61,0,ClN1CCOCCOCCN(Cl)CC1
62,0,FC(F)(F)c1ccc([C@@H](Br)CBr)cc1
63,0,O=C[C@@H](c1ccc(Cl)cc1)[C@@H](C=O)c1ccc(Cl)cc1
64,0,CC1=CC2=C(I)C3(CC3)[C@@](C)(O)C(=O)C2=C1I
65,0,N#C/C(C=O)=C(/C#N)C=O
66,1,O=C(O)CCOCCC(=O)O
67,0,N#C/C(C=O)=C(\C#N)C=O
68,0,CC1(C)N=C(Br)N=C(Br)N1c1cccc(C#N)c1
69,0,ClC1=NN=C(Cl)C1=NNc1nccs1
70,0,CO[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1N
71,0,O=C1C2=C(Br)CCC(Br)=C2C(=O)c2ccccc21
72,0,Ic1ccc2c(c1)[nH]c1cc(I)ccc12
73,0,O=C(O)c1cnc2c(C(=O)O)sc3nc(-c4ccccc4)cc1-n-3-2
74,0,CC1(C)NC(=N)NC(=N)N1c1cccc(Cl)c1
75,0,C[C@H](ON1C(F)=NC(F)=NC1(C)C)c1ccc(Cl)cc1Cl
76,0,CC1=C2C=C(I)S[C@]2(C)[C@@]2(C)SC(I)=CC2=C1C
